,title,published_at,view_count,duration
363879726,"[EN] True Sight Premiere - Copenhagen, DK",2019-01-14T16:43:06Z,6377,55s
302389003,[EN] The International 2018 Main Event The Late Show Queen Elizabeth Theater,2018-08-27T04:19:08Z,9386,45m46s
302387594,[EN] The International 2018 The Late Game Show 21 aug,2018-08-27T04:12:26Z,1229,51m5s
302386960,[EN] The International 2018 The Late Game Show 25 aug,2018-08-27T04:09:50Z,669,47m32s
302386337,[EN] The International 2018 The Late Game Show 24 aug,2018-08-27T04:07:06Z,416,57m2s
302385810,[EN] The International 2018 The Late Game Show 22 aug,2018-08-27T04:04:55Z,310,47m48s
302384369,[EN]The International 2018 The Late Game Show 23 aug,2018-08-27T03:59:14Z,290,46m19s
302383732,[EN] The International 2018 The Late Game Show 20 aug,2018-08-27T03:56:22Z,515,52m12s
301966452,[EN] OG vs PSG.LGD BO5 - The International 2018 Main Event,2018-08-26T03:54:35Z,82296,51m0s
301966258,[EN] OG vs PSG.LGD BO5 - The International 2018 Main Event,2018-08-26T03:53:56Z,69841,23s
301715415,[EN] The International 2018 Main Event,2018-08-25T15:59:57Z,522779,11h53m44s
301543871,[EN] The International 2018 Main Event,2018-08-25T03:24:40Z,19443,57m7s
301430426,[EN] The International 2018 Main Event Cosplay,2018-08-24T22:03:48Z,9444,9m59s
301303288,[EN] The International 2018 Main Event,2018-08-24T16:00:31Z,496457,11h23m21s
301161719,[EN] The International 2018 Main Event,2018-08-24T04:24:12Z,12108,57m34s
301160273,[EN] The International 2018 Main Event,2018-08-24T04:18:16Z,4697,5m48s
300907006,[EN] The International 2018 Main Event,2018-08-23T16:01:44Z,393890,12h3m32s
300799820,[EN] The International 2018 Main Event Day 3,2018-08-23T07:27:34Z,37222,13h55m11s
300795445,[EN] OG vs Evil Geniuses BO3 - The International 2018 Main Event,2018-08-23T06:57:36Z,18168,46m34s
300704237,[EN] Humans vs OpenAI5 The International 2018 Main Event,2018-08-23T01:03:56Z,11222,1h7m23s
300653706,The Story of Sheever: Live talent segment,2018-08-22T22:50:55Z,2713,8m43s
300616454,[EN] PGL AR The International 2018 Main Event Team logos,2018-08-22T21:02:58Z,1244,7s
300577621,[EN] Optic Gaming vs Serenity The International 2018 Main Event - Day3,2018-08-22T19:15:15Z,2332,2h21m6s
300552723,[EN] Evil Geniuses vs TeamSecret The International 2018 Main Event -Day3,2018-08-22T18:09:27Z,2464,2h41m2s
300549513,[EN] VGJ Storm vs OG The International 2018 Main Event - Day3,2018-08-22T18:01:23Z,1569,2h23m43s
300508024,[EN] The International 2018 Main Event,2018-08-22T16:00:28Z,375061,14h56m53s
300370469,[EN] The International 2018 Main Event Day 2,2018-08-22T04:28:06Z,302187,11h24m13s
300369884,[EN] The International 2018 Main Event,2018-08-22T04:25:45Z,11299,48m7s
300366699,[EN] The International 2018 Main Event - AR versus,2018-08-22T04:12:07Z,684,55s
300363994,[EN] The International 2018 Main Event - AR Aegis,2018-08-22T04:01:58Z,538,17s
300362561,[EN] The International 2018 Main Event - AR-team,2018-08-22T03:57:08Z,574,44s
300361059,Highlight: [EN] The International 2018 Main Event - AR,2018-08-22T03:51:20Z,428,3m26s
300353280,[EN] The International 2018 Main Event - Gabe Recording,2018-08-22T03:23:02Z,825,3m13s
300108579,[EN] The International 2018 Main Event - Rerun,2018-08-21T16:01:58Z,101802,12h23m29s
299971653,[EN] The International 2018 Main Event,2018-08-21T04:44:29Z,22337,53m17s
299967889,[EN] Newbee vs Winstrike The International 2018 Main Event Day 1,2018-08-21T04:28:19Z,6546,1h14m44s
299959231,[EN] TNC Predator vs Mineski The International 2018 Main Event Day 1,2018-08-21T03:54:06Z,4778,1h8m32s
299957966,[EN] Fnatic vs Team Serenity The International 2018 Main Event Day 1,2018-08-21T03:49:20Z,4163,1h4m15s
299934895,[EN] PSG.LGD vs Virtus.pro BO3 The International 2018 Main Event Day 1,2018-08-21T02:32:56Z,6557,2h9m14s
299896458,[EN] Team Liquid vs Optic Gaming BO3 The International 2018 Main Event Day 1,2018-08-21T00:49:15Z,5497,1h59m11s
299858092,[EN] The International 2018 Main Event Opening Ceremony- For the FANS,2018-08-20T23:05:59Z,2527,12m8s
299699491,[EN] The International 2018 Main Event,2018-08-20T15:37:01Z,381065,13h6m2s
299697682,[EN] The International 2018 Multicast | Rerun,2018-08-20T15:30:45Z,2110,5m59s
298872073,[EN] The International 2018 Multicast,2018-08-18T15:01:31Z,174039,10h42m1s
298871841,[EN] The International 2018 Multicast | Rerun,2018-08-18T15:00:53Z,1335,23s
298455148,[EN] The International 2018 Multicast | Rerun,2018-08-17T14:59:29Z,214987,12h35m27s
298058945,[EN] The International 2018 Multicast,2018-08-16T15:04:23Z,233253,12h39m42s
297807089,[EN] The International 2018 Multicast,2018-08-15T22:21:50Z,103877,6h28m28s
297784550,[EN] The International 2018 Multicast,2018-08-15T21:15:47Z,31328,1h5m46s
297778056,[EN] The International 2018 Multicast,2018-08-15T20:57:53Z,15317,10m35s
297776481,[EN] The International 2018 Multicast,2018-08-15T20:53:31Z,12707,4m5s
297699603,[EN] The International 2018 Multicast,2018-08-15T17:28:58Z,67394,3h15m39s
297691305,[EN] The International 2018 Multicast,2018-08-15T17:05:30Z,20809,12m29s
297691053,[EN] The International 2018 Multicast,2018-08-15T17:04:50Z,14019,25s
297670112,[EN] The International 2018 Multicast,2018-08-15T16:02:33Z,36282,1h2m0s
297661280,[EN] The International 2018 Multiview Stream,2018-08-15T15:35:02Z,24623,26m52s
297659018,[EN] The International 2018 Multiview Stream,2018-08-15T15:27:23Z,19780,7m0s
297658843,[EN] The International 2018 Multiview Stream,2018-08-15T15:26:49Z,3044,24s
297654454,[EN] The International 2018 Multiview Stream,2018-08-15T15:11:12Z,27782,15m20s
297245285,The International Lowdown: OG,2018-08-14T21:09:41Z,19479,1h22m19s
297242928,The International Lowdown: Newbee,2018-08-14T19:43:18Z,7600,1h19m29s
297245216,The International Lowdown: VGJ.STorm,2018-08-14T18:22:13Z,5360,1h7m55s
296843940,The International Lowdown: Vici Gaming,2018-08-13T20:51:00Z,7052,1h24m41s
296818280,The International Lowdown: Fnatic,2018-08-13T19:24:20Z,6285,1h8m54s
296815673,The International Lowdown: IG,2018-08-13T18:07:52Z,4152,46m8s
296255625,Thee International Lowdown: Team Serenity,2018-08-12T20:07:28Z,6842,52m43s
296184178,The International Lowdown: TNC Predator,2018-08-12T19:14:06Z,7827,1h12m44s
296183577,The International Lowdown: Team Secret,2018-08-12T17:57:25Z,7603,56m6s
295844239,The International Lowdown: PSG.LGD,2018-08-11T22:15:06Z,9280,1h22m51s
295828714,The International Lowdown: PaiN Gaming,2018-08-11T20:31:08Z,10576,1h22m32s
295838666,The International Lowdown: Virtus.Pro,2018-08-11T19:06:11Z,16784,2h2m52s
295342928,The International Lowdown: VGJ.Thunder,2018-08-10T20:53:00Z,8812,1h2m37s
295412766,The International Lowdown: Winstrike,2018-08-10T19:47:59Z,11009,1h28m46s
295391524,The International Lowdown: EG,2018-08-10T18:12:12Z,13334,1h10m20s
294965911,The International Lowdown: Mineski,2018-08-09T20:54:42Z,11892,1h6m26s
294939068,The International Lowdown: Team Liquid,2018-08-09T19:44:40Z,19678,1h10m31s
294973699,The International Lowdown: Optic Gaming,2018-08-09T18:31:34Z,22296,1h30m23s
166432856,[EN] The International 2017 Main Event Finals,2017-08-12T16:31:19Z,335425,9h2m30s
166172514,[EN] The International 2017 Main Event - Day 5,2017-08-11T16:31:24Z,236206,9h26m46s
165913358,[EN] The International 2017 Main Event - Day 4,2017-08-10T16:34:13Z,160836,11h48m45s
165657866,[EN] The International 2017 Main Event - Day 3,2017-08-09T16:30:44Z,122212,12h2m55s
165396463,[EN] The International 2017 Main Event - Day 2,2017-08-08T16:32:27Z,154571,11h47m29s
165139679,[EN] VP vs IG - The International 2017 Main Event - Day 1,2017-08-07T16:25:35Z,174995,12h54m54s
164636918,[EN] IG.Vitality vs Fnatic - The International 2017 Group Stage,2017-08-05T15:17:29Z,96098,8h20m56s
164552715,[EN] IG.Vitality vs Fnatic - The International 2017 Group Stage,2017-08-05T04:37:03Z,23656,28m29s
164377978,[EN] OG vs VP - The International 2017 Group Stage,2017-08-04T15:02:16Z,40083,13h32m12s
164127288,EG vs Liquid - TI 2017 Group Stage,2017-08-03T15:03:30Z,51455,23h57m0s
163880040,EG vs TNC - TI 2017 Group Stage,2017-08-02T15:10:55Z,131116,12h13m33s
163071758,Na`Vi vs iG Game 2 The International 2012,2017-07-30T09:32:49Z,18086,36m11s
162956297,Na`Vi vs iG Game 2 The International 2012,2017-07-29T23:40:19Z,28468,33m27s
162932589,EHOME vs. EG - Game 1 - The International 2016,2017-07-29T20:14:14Z,19870,1h28m12s
162927366,TNC vs. OG - Game 2 - The International 2016,2017-07-29T19:53:14Z,19024,1h13m23s
83400929,The International 2016 - Main Event Day 6,2016-08-13T16:45:25Z,410953,11h19m47s
83196893,The International 2016 - Main Event Day 5,2016-08-12T16:52:14Z,182887,9h3m43s
83012529,The International 2016 - Main Event Day 4,2016-08-11T16:46:57Z,221965,11h17m58s
82878048,The International 2016 - Main Event Day 3,2016-08-10T21:41:59Z,154247,7h3m54s
82824802,The International 2016 - Main Event Day 2,2016-08-10T16:47:25Z,33270,4h53m2s
82681239,TI6 Opening Ceremonies,2016-08-09T21:01:43Z,5397,13m35s
82636792,The International 2016 - Main Event Day 1,2016-08-09T16:46:49Z,133049,11h33m11s
82461738,The International 2016 - Main Event Day 1,2016-08-08T17:31:29Z,156710,11h48m16s
82453688,The International 2016 - Main Event Day 1,2016-08-08T16:37:35Z,16077,52m39s
82446791,The International 2016 - Group Stage Day 3,2016-08-08T15:48:04Z,8367,1m51s
81916415,The International 2016 - Group Stage Day 3,2016-08-05T16:05:52Z,220074,11h27m16s
81915739,The International 2016 - Group Stage Day 3,2016-08-05T16:01:25Z,4396,2m57s
81736361,The International 2016 - Group Stage Day 2,2016-08-04T15:52:02Z,59983,14h28m22s
81546346,The International 2016 - Group Stage Day 1,2016-08-03T15:58:06Z,73668,13h28m40s
81361063,The International 2016 - Wildcards,2016-08-02T16:05:38Z,71058,9h6m8s
81280970,The International 2016 - Wildcards,2016-08-02T02:57:03Z,10030,57m15s
81280301,The International 2016 - Wildcards,2016-08-02T02:52:41Z,1475,3m53s
81279909,The International 2016 - Wildcards,2016-08-02T02:49:52Z,1585,2m32s
10218720,CDEC vs. EG - Game 4 - Grand Final - The International 2015 - Casters: TobiWan & SyndereN,2015-08-08T16:50:44.689762Z,61958,56m22s
10214882,CDEC vs. EG - Game 3 - Grand Final - The International 2015 - Casters: TobiWan & SyndereN,2015-08-08T16:50:44.689762Z,28524,1h14m38s
10214697,CDEC vs. EG - Game 2 - Grand Final - The International 2015 - Casters: TobiWan & SyndereN,2015-08-08T16:50:44.689762Z,22058,52m27s
10198188,CDEC vs. EG - Game 1 - Grand Final - The International 2015 - Casters: TobiWan & SyndereN,2015-08-08T16:50:44.689762Z,33923,55m33s
10183804,LGD vs. EG - Game 2 - The International 2015 - Casters: LD & Blitz,2015-08-08T16:50:44.689762Z,10561,1h0m47s
10177708,LGD vs. EG - Game 1 [Part 2/2] - The International 2015 - Casters: LD & Blitz,2015-08-08T16:50:44.689762Z,18234,28m33s
10177434,LGD vs. EG - Game 1 [Part 1/2] - The International 2015 - Casters: LD & Blitz,2015-08-08T16:50:44.689762Z,25097,43m19s
10147609,Vici Gaming vs. LGD Gaming - Game 3 - The International 2015 - Casters: LD & Blitz,2015-08-07T16:49:51.765499Z,668,57m32s
10147430,Vici Gaming vs. LGD Gaming - Game 2 - The International 2015 - Casters: LD & Blitz,2015-08-07T16:49:51.765499Z,1702,40m38s
10147226,Vici Gaming vs. LGD Gaming - Game 1 - The International 2015 - Casters: LD & Blitz,2015-08-07T16:49:51.765499Z,2380,46m0s
10083511,EG vs. CDEC - Game 2 - The International 2015 - Casters: ODPixel & SyndereN,2015-08-07T16:49:51.765499Z,7085,36m25s
10083254,EG vs. CDEC - Game 1 - The International 2015 - Casters: ODPixel & SyndereN,2015-08-07T16:49:51.765499Z,9065,1h2m6s
10076744,Virtus.Pro vs. LGD - Game 2 - The International 2015 - Casters: TobiWan & SyndereN,2015-08-07T16:49:51.765499Z,3091,55m50s
10062190,Virtus.Pro vs. LGD - Game 1 - The International 2015 - Casters: TobiWan & SyndereN,2015-08-07T16:49:51.765499Z,4484,1h4m54s
10040072,Virtus.Pro vs. LGD [BO3] - The International 2015 - Casters: TobiWan & SyndereN,2015-08-07T16:49:51.765499Z,16390,8h38m27s
10034184,Team N0tail vs. Team Chuan - All Stars Match - The International 2015,2015-08-06T16:48:27.154986Z,4302,1h23m39s
10033979,EHome vs. Vici Gaming - Game 2 - The International 2015 - Casters: ODPixel & Synderen,2015-08-06T16:48:27.154986Z,465,1h3m44s
10033814,EHome vs. Vici Gaming - Game 1 - The International 2015 - Casters: ODPixel & Synderen,2015-08-06T16:48:27.154986Z,371,1h9m21s
10033546,Virtus.pro vs. Team Secret - Game 3 - The International 2015 - Casters: Capitalist & Blitz,2015-08-06T16:48:27.154986Z,1550,1h7m11s
10033241,Virtus.pro vs. Team Secret - Game 2 - The International 2015 - Casters: Capitalist & Blitz,2015-08-06T16:48:27.154986Z,910,52m14s
10033009,Virtus.pro vs. Team Secret - Game 1 - The International 2015 - Casters: Capitalist & Blitz,2015-08-06T16:48:27.154986Z,710,44m43s
